GeneASymbol	GeneAid	GeneBSymbol	GeneBid	PubmedID Evidence Score	Type	
EIP93F	44936	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VHAPPA1-1	45247	19543366	GenomeRNAi	0.5	SL
E5	45396	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ALDH-III	45398	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CAN	45432	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG30382	246582	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
AATS-VAL	45783	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
GRAU	45871	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EAST	46006	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROSBETA1	46058	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
L(2)06225	46069	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
DUP	47121	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TOR	47396	19543366	GenomeRNAi	0.5	SL
HBN	47894	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MST57DA	47954	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPII18	48312	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
SAM-S	48552	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HSP70BB	48582	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HSP70BC	48583	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MASK	50070	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG12994	50350	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RECQ4	53438	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PONT	53439	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
JAFRAC1	53578	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GCLC	53581	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG17724	246682	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TLK	318206	19543366	GenomeRNAi	0.5	SL
PROSBETA5R2	318924	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG31785	318940	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42784	326165	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG31917	326171	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CLASPIN	326205	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
P53	2768677	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
LUNA	2768719	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
RL	3354888	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG17715	3355129	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG43164	3772015	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MUS201	3772069	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
SPHINX	4379815	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG34386	5740303	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG43729	5740318	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG34398	5740462	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42368	7354433	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42594	8674091	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG44008	14462750	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG44314	19834814	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
