GeneASymbol	GeneAid	GeneBSymbol	GeneBid	PubmedID Evidence Score	Type	
SPN-A	43577	TANGO13	32312	19543366	GenomeRNAi	0.5	SL
MAMO	32353	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MRNA-CAP	32379	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG33177	32438	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG9065	32439	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROSALPHA4	32584	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EAS	32585	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HANG	32613	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42684	32754	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
GS	32775	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG32495	318053	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
AATS-HIS	32841	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG34422	32877	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG7990	32909	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RICTOR	32919	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
COREST	32941	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG14215	32971	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
SPN-A	43577	UBQN	32977	19543366	GenomeRNAi	0.75	SL
CG14230	32984	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
SPN-A	43577	UNC	33093	19543366	GenomeRNAi	0.5	SL
RPT6	33105	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CHINMO	33343	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG15395	33447	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TAF10B	33468	19543366	GenomeRNAi	0.75	SL
SPN-A	43577	TAF10	33469	19543366	GenomeRNAi	0.5	SL
CG15399	33472	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RRP1	33500	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
RPL40	33629	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TRAF4	33638	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VRI	33759	19543366	GenomeRNAi	0.5	SL
NCOA6	33761	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
EIF-4A	33835	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
L(2)K09022	33960	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SMT3	33981	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SNRNP-U1-70K	33982	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG7211	34054	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL36A	34098	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PVR	34127	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
FU2	34177	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PRBP	34196	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TRX-2	34281	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TAF11	34293	19543366	GenomeRNAi	0.5	SL
ETL1	34311	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
DREF	34328	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
DA	34413	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS27A	34420	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TFIIB	34430	19543366	GenomeRNAi	0.5	SL
MRE11	34565	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ARET	34648	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ELF	34658	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG6153	34675	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PECT	34716	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG9426	34719	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
PROSALPHA6T	34726	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL24	34754	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SOS	34790	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPEL1	34842	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	SU(H)	34881	19543366	GenomeRNAi	0.5	SL
CYCE	34924	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CRP	34956	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CACT	34969	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROSBETA4	34999	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CAS	35016	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG15141	35044	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG42750	35090	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
LIM3	35184	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
LOK	35288	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG9272	35365	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL21	35453	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
NIPPED-A	35483	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
GEMININ	35563	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CYP6A2	35587	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VPS13	35693	19543366	GenomeRNAi	0.5	SL
RPT1	35701	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	U2A	35713	19543366	GenomeRNAi	0.75	SL
DGK	35738	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
HEY	35764	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
SPN-A	43577	VPS25	35847	19543366	GenomeRNAi	0.75	SL
JON44E	35853	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG8083	35914	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ALC	35931	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VHAAC45	35944	19543366	GenomeRNAi	0.5	SL
CAMTA	35974	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROSALPHA7	36018	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PSQ	36118	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
ELP2	36123	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
MAT1	36130	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
RPB5	36160	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG13217	36180	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
